анальгетики, анестетики
антибиотики
витамины
гинекологические и урологические
гомеопатические
гормональные
для крови
для лечения варикозного расширения вен
для лечения геморроя
для лечения глаз и ушей
для лечения горла и носа
для лечения диабета
для лечения предстательной железы
для наружного применения
для повышения потенции
для полости рта
для похудения
для суставов
желудочно-кишечные
иммуностимуляторы (повышение иммунитета)
обезбаливающие
онкологические
противоаллергические
противовирусные
противогельминтные
противогрибковые
противозачаточные 
противопаразитные
противопростудные
сердечно-сосудистые
травы + фиточаи
успокаивающие, снотворное
