"Абди Ибрахим Илач Санаи ве Тиджарет А.Ш. для ""Дельта Медикел Промоушинз АГ"""
Абди Ибрахим Илач Санаи ве Тиджарет А.Ш.
Билим Илач Сан. Ве Тидж. А.Ш.
"Билим Фармасьютикалз А.С. для ""Дельта Медикел Промоушнз АГ"""
Билим Фармасьютикалз А.С.
"Дрогсан Илачлари Сан. ве Тидж. А.Ш. для ""Асфарма-Украина, ООО"""
Зентива Саглик Урунлери Санаи ве Тиджарет А.Ш.
Мефар Илач Санаи А.Ш.
"Мустафа Невзат Илач Санаи А.Ш. для ""Асфарма - Украина, ООО"""
Мустафа Невзат Илач Санаи А.Ш.
Нобел Илач Санаи Ве Тиджарет А.Ш.
"Сандоз Групп Саглик Урунлери Илачлари Санайи ве Тиджарет для ""Дева Холдинг, ОАО"""
Сановель Иляч Санаи ве Тиджарет А.Ш.
