Адифарм ЭАТ
"Актавис Лтд/Балканфарма-Дупница АД для ""Профарма Интернешнл Трейдинг Лтд"""
Актавис Лтд/Балканфарма-Дупница АО
"Балканфарма-Дупница АД для ""Профарма Интернешнл Трейдинг Лтд"""
Балканфарма-Дупница АД
Балканфарма-Разград АД
Балканфарма-Троян АД
Биовет, АО
"Биофарм Инжиниринг, АО для ""Софарма АО"""
"Валео для ""Рифатрейд"""
ВетПром, АД
Дикрасин-Димитр Кристев, ЭТ
"Каталент Джермени Шорндорф ГмбХ для ""Актавис ЕАД """
Лавена АО
Медика АО
Милве Фармацевтические заводы, АО
Софарма, АО
Унифарм, АО
