Бакстер АГ
"Бакстер Хелскеа Корпорейшн для ""Бакстер АГ"""
"Биохеми ГмбХ для ""Сандоз ГмбХ"""
Вайет-Ледерл Фарма ГмбХ
Г.Л. Фарма, ГмбХ
Герот Фармацеутика ГмбХ
"Глобофарм Фармацойтише Прод. для ""Сандоз Фармасьютикалз д.д."""
Квизда Фарма ГмбХ
Кьези Фармацеутици С.п.А.
Ланнахер Хейльмиттель ГмбХ
"Мерк КГаА & Ко. Верк Шпитталь для ""Сандоз Фармасьютикалз д.д."""
Никомед Австрия ГмбХ
Никомед Фарма АС
Октафарма Фармацеутика
Рихард Биттнер АГ
Сандоз ГмбХ
Санохемиa Фармацевтика АГ
"Такеда Австрия ГмбХ для ""Такеда Украина, ООО"""
Такеда Австрия Гмбх
Торрекс Фарма ГмбХ
Фармацеутише Фабрик Монтавит ГмбХ
"Фармацойтише Фабрик Монтавит ГесмбХ для ""Сандоз Фармасьютикалз д.д."" "
Фрезениус Каби ГмбХ
