Актавис Италия С.п.А.
"Актавис Лтд для ""Медокеми Лтд"""
"Актавис эхф. для ""Фармлига, ЗАО"""
"ЗИО- Здоровье, ЗАО, для ""Актавис групп АТ"""
"Синдан Фарма СРЛ для ""Актавис групп"""
"Синтон Испания С.Л. для ""Актавис групп АО"""
