Абботт Хелскеа САС
Биокодекс
Бофур Ипсен Индустри
Бристол-Майерс Сквибб Компани
Буарон
ГлаксоВеллком Продакшн
"ГлаксоСмитКляйн на заводах: ""Кардинал Хелс"""
Гоемар Лаб. Де Ла Мер
Лаб. Агетан
Лаб. Безен Интернационал
Лаб. Бушара-Рекордати
Лаб. Гримберг С.А.
Лаб. Жильбер
Лаб. Майоли Спиндлер
Лаб. Омега Фарма Франс
"Лаб. Ричард для ""Байер Консьюмер Кер"""
"Лаб. Родаэль для Лаб. ""Альфа Вассерман Фарма"""
Лаб. Роза-Фитофарма
Лаб. Сервье Индастри
Лаб. УРГО
Лаб. Шемино
Лаб. Шовен
Лаборатория развития фармацевтики (LDP)
Лаллеманд С.А.С.
"Лафаль Индастриз для ""ЗамбонФрансе"""
Лилли Франс С.А.С.
Мако Фарма, СА
Мерк Санте с.а.с.
Новартис Фарма С.А.С.
Норжин Фарма
Пьер Фабр Медикамент Продакшн
Пьерр Роллан
"Рецифарм Фонтен для ""Лаб. Фурнье С.А."" "
"Санофи Винтроп Индастриа для ""Санофи Фарма Бристоль-Майерс Сквибб СНСИ"""
Санофи Пастер С.А.
Септодонт
Серб С.А.
"Софартекс для ""Лаб. Бушара-Рекордати"""
"Тиллотс Фарма АГ для ""Лаб. Экспансьенс"""
"Фамар Легль для ""Аббот Лабораториз С.А."""
"Фамар Франция для ""Новартис Консьюмер Хелс С.А"""
Фармаклер
ЦДМ Лявуазье
ЮСБ Хелскер
