Апотекс Инк.
Атриум Инновейшенс Инк.
"Кеата Фарма Инк. для ""МакНил Продактс Лтд"""
"Контракт Фармасьютикалз Лтд. для ""Шеринг-Плау Сентрал Ист АГ"""
Омега Лабораториз Лтд.
"Патеон Инк. для ""Амджен Европа Б.В."""
Патеон Инк.
"Патеон Инк.В.О. для ""Новартис Консьюмер Хелс"""
Санофи Пастер Лтд
Фармасайнс Инк.
Фарметикс Инк.
