Алкон - Куврер
"Алкон - Куврьор для ""Алкон Лабораториз (ОК) Лтд"""
"Алкон - Куврьор для ""Алкон Лабораториз, Инк"""
Бакстер С.А.
Бакстер Хелскеа Корпорейшн
Брюфармекспорт с.п.р.л.
"БСП Фарма/Янссен Фарма для ""Джонсон & Джонсон, ООО"""
ГлаксоСмитКляйн Биолоджикалс
"Лаб. Тиссен С.А. для ""Лаб. Сервье"""
"НекстФарма САС для ""ЮСБ Фарма С.А."""
Орион Фарма/Шеринг-Плау Лабо Н.В.
Пфайзер Менюфекчуринг Бельгия Н.В.
"Санико Н.В. для ""Тиботек Фарма"""
"СМБ Технолоджи С.А. для ""Ядран-Галенская Лаб."""
"Терумо Пенпол Лтд для ""ТерумоЕвроп Н.В."""
Шеринг-Плау Лабо Н.В.
ЮСБ Фарма С.А.
"Янссен Фармацевтика Н.В. для ""МакНил Продактс Лтд"""
Янссен Фармацевтика Н.В./Джонсон & Джонсон, ООО
Янссен-Силаг С.п.А./Янссен Фармацевтика Н.В.
