Акселлус А/С
Бифодан А/С
Государственный Институт Вакцин
ЛЕО Фармасьютикал Продактc Лтд. А/С (ЛЕО Фарма А/С)
Лундбек Х. А/С
Никомед Дания АпС
Ново Нордиск, А/Т
Статенс Серум Институт
Фарма-Винчи А/С
Ферросан А/С
"Хр. Хансен А/С, для ""Лаб. Майоли Спиндлер"""
