Берна Биотек Кореа Корп.
"БЦ Ворлд Фарг. Ко., Лтд. для ""Про-фарма, УА, ООО"""
Грин Крос Корпорейшн 
Даевон Фармасьютикал Ко. Лтд.
"Даэ Хан Нью Фарм. Ко. Лтд для ""Валартин Фарма, ООО"""
Донг Кук Фармасьютикал Ко. Лтд.
Донг-А Фармасьютикал Ко., Лтд.
Меди-Токс Инк.
Селл Биотек Ко. Лтд
"Фармак, ПАО, совместно с ""Лайф Саенсиз Лтд"""
Хендок Фармасьютикалс Ко. Лтд.
Хугель, Инк.
Чунгвае Фарма
