Бейджинг Юнион Фармасьютикал Фектори
"Вуханский Институт Биологических Продуктов Ко., Лтд для ""Максимум Альфа ООО"""
ДОН ФОН Лтд, Пекинская комп. по выпуску спец. медиц. продуктов и витаминов
Жухай Юнайтед Лаб. (Жонгшан) Ко., Лтд
Зижу Фармацеутикал Ко., Лтд.
Ланжуйский Институт биологических продуктов
Маинлун Фармасьютикал Ко. Лтд
Тобиши Фарм. Ко. Лтд, Пекинская Фарм. Комп.
Фей Лун, ООО, Шеньянская компания здоровых продуктов
Хербапекс (групп) Ко. Лтд.
Хубей Гуандзи Фармасьютикал Ко., Лтд
Цисин Лтд, ФК
Шаанкси Хаитян Фарма
Шанхай Хулиан Фарма
Шенджен Нептунус Интерлонг
Шеньчжень Ваньхе Фармасьютикал Ко., Лтд
Шеньян Саншайн Фарма Ко. Лтд.
Шияжуанг Греат Фармасьютикалс Ко., Лтд.
