"Австралиан Фармацевтикалз Манюфекчерерз Пти Лтд для ""Нкафарма Фарма"""
"Ардейфарм ГмбХ для ""Мега Лайфсайенсиз (Австралия) Пти Лтд"""
ГлаксоСмитКляйн
Медикал Девелопментс Интернейшнал Птей, Лтд
"Мейн Фарма Птв. Лтд. для ""Мейн Фарма Плк."""
Ментолатум Австралазия Пти Лтд
