КОД;;;Цена;Описание
23474;Тарелка 200 мелкая N8 Япония 7865;Тарелка 200 мелкая N8 Япония 7865 - Фарфор цветной (Китай) - Тарелки;Тарелка 200 мелкая N8 Япония 7865 - Фарфор цветной (Китай) - Тарелки; 
25303;Тарелка 200 мм керамическая 17748;Тарелка 200 мм керамическая 17748 - Фарфор цветной (Китай) - Тарелки;Тарелка 200 мм керамическая 17748 - Фарфор цветной (Китай) - Тарелки; 
24086;Тарелка 20см глубокая украинская роспись 21-198-028;Тарелка 20см глубокая украинская роспись 21-198-028 - Фарфор цветной (Китай) - Тарелки;Тарелка 20см глубокая украинская роспись 21-198-028 - Фарфор цветной (Китай) - Тарелки; 
25832;Тарелка 21,5см квадратная с черными краями F2934BY-8,5W;Тарелка 21,5см квадратная с черными краями F2934BY-8,5W - Фарфор цветной (Китай) - Тарелки;Тарелка 21,5см квадратная с черными краями F2934BY-8,5W - Фарфор цветной (Китай) - Тарелки; 
21319;Тарелка 22,5см 355-201;Тарелка 22,5см 355-201 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см 355-201 - Фарфор цветной (Китай) - Тарелки; 
21299;Тарелка 22,5см N1 320-D33;Тарелка 22,5см N1 320-D33 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см N1 320-D33 - Фарфор цветной (Китай) - Тарелки; 
21346;Тарелка 22,5см N2 320-D33;Тарелка 22,5см N2 320-D33 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см N2 320-D33 - Фарфор цветной (Китай) - Тарелки; 
21300;Тарелка 22,5см гл 320-D73;Тарелка 22,5см гл 320-D73 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см гл 320-D73 - Фарфор цветной (Китай) - Тарелки; 
21298;Тарелка 22,5см гл N1 320-D31;Тарелка 22,5см гл N1 320-D31 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см гл N1 320-D31 - Фарфор цветной (Китай) - Тарелки; 
21320;Тарелка 22,5см гл N2 320-D31;Тарелка 22,5см гл N2 320-D31 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см гл N2 320-D31 - Фарфор цветной (Китай) - Тарелки; 
21322;Тарелка 22,5см гл N4 320-D31;Тарелка 22,5см гл N4 320-D31 - Фарфор цветной (Китай) - Тарелки;Тарелка 22,5см гл N4 320-D31 - Фарфор цветной (Китай) - Тарелки; 
23520;Тарелка 230 глубокая N9 7435;Тарелка 230 глубокая N9 7435 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 7435 - Фарфор цветной (Китай) - Тарелки; 
23239;Тарелка 230 глубокая N9 Венеция 6624;Тарелка 230 глубокая N9 Венеция 6624 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Венеция 6624 - Фарфор цветной (Китай) - Тарелки; 
16141;Тарелка 230 глубокая N9 Вьюнок 7169;Тарелка 230 глубокая N9 Вьюнок 7169 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Вьюнок 7169 - Фарфор цветной (Китай) - Тарелки; 
19827;Тарелка 230 глубокая N9 Гибискус;Тарелка 230 глубокая N9 Гибискус - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Гибискус - Фарфор цветной (Китай) - Тарелки; 
5434;Тарелка 230 глубокая N9 Камыш;Тарелка 230 глубокая N9 Камыш - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Камыш - Фарфор цветной (Китай) - Тарелки; 
18965;Тарелка 230 глубокая N9 Лилии 7446;Тарелка 230 глубокая N9 Лилии 7446 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Лилии 7446 - Фарфор цветной (Китай) - Тарелки; 
18970;Тарелка 230 глубокая N9 Маки 7445;Тарелка 230 глубокая N9 Маки 7445 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Маки 7445 - Фарфор цветной (Китай) - Тарелки; 
15103;Тарелка 230 глубокая N9 Незабудка 033;Тарелка 230 глубокая N9 Незабудка 033 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Незабудка 033 - Фарфор цветной (Китай) - Тарелки; 
16145;Тарелка 230 глубокая N9 Подсолнух 5705;Тарелка 230 глубокая N9 Подсолнух 5705 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Подсолнух 5705 - Фарфор цветной (Китай) - Тарелки; 
18975;Тарелка 230 глубокая N9 Три подсолнуха 7443;Тарелка 230 глубокая N9 Три подсолнуха 7443 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Три подсолнуха 7443 - Фарфор цветной (Китай) - Тарелки; 
18980;Тарелка 230 глубокая N9 Тюльпаны 7444;Тарелка 230 глубокая N9 Тюльпаны 7444 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 Тюльпаны 7444 - Фарфор цветной (Китай) - Тарелки; 
23526;Тарелка 230 глубокая N9 кв. 9646;Тарелка 230 глубокая N9 кв. 9646 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 кв. 9646 - Фарфор цветной (Китай) - Тарелки; 
15111;Тарелка 230 глубокая N9 французский 027;Тарелка 230 глубокая N9 французский 027 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 глубокая N9 французский 027 - Фарфор цветной (Китай) - Тарелки; 
26398;Тарелка 230 мел N9 Золотой восток;Тарелка 230 мел N9 Золотой восток - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мел N9 Золотой восток - Фарфор цветной (Китай) - Тарелки; 
17935;Тарелка 230 мелкая N9 Венеция 6624;Тарелка 230 мелкая N9 Венеция 6624 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Венеция 6624 - Фарфор цветной (Китай) - Тарелки; 
23783;Тарелка 230 мелкая N9 Вишня в цвету 7736;Тарелка 230 мелкая N9 Вишня в цвету 7736 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Вишня в цвету 7736 - Фарфор цветной (Китай) - Тарелки; 
16143;Тарелка 230 мелкая N9 Вьюнок 7169;Тарелка 230 мелкая N9 Вьюнок 7169 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Вьюнок 7169 - Фарфор цветной (Китай) - Тарелки; 
19673;Тарелка 230 мелкая N9 Гибискус;Тарелка 230 мелкая N9 Гибискус - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Гибискус - Фарфор цветной (Китай) - Тарелки; 
7952;Тарелка 230 мелкая N9 Камыш;Тарелка 230 мелкая N9 Камыш - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Камыш - Фарфор цветной (Китай) - Тарелки; 
5528;Тарелка 230 мелкая N9 Ландыш;Тарелка 230 мелкая N9 Ландыш - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Ландыш - Фарфор цветной (Китай) - Тарелки; 
18968;Тарелка 230 мелкая N9 Лилии 7446;Тарелка 230 мелкая N9 Лилии 7446 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Лилии 7446 - Фарфор цветной (Китай) - Тарелки; 
18971;Тарелка 230 мелкая N9 Маки 7445;Тарелка 230 мелкая N9 Маки 7445 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Маки 7445 - Фарфор цветной (Китай) - Тарелки; 
16427;Тарелка 230 мелкая N9 Настурция 7171;Тарелка 230 мелкая N9 Настурция 7171 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Настурция 7171 - Фарфор цветной (Китай) - Тарелки; 
15106;Тарелка 230 мелкая N9 Незабудка 033;Тарелка 230 мелкая N9 Незабудка 033 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Незабудка 033 - Фарфор цветной (Китай) - Тарелки; 
16148;Тарелка 230 мелкая N9 Подсолнух 5705;Тарелка 230 мелкая N9 Подсолнух 5705 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Подсолнух 5705 - Фарфор цветной (Китай) - Тарелки; 
24654;Тарелка 230 мелкая N9 Роза чайная;Тарелка 230 мелкая N9 Роза чайная - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Роза чайная - Фарфор цветной (Китай) - Тарелки; 
22820;Тарелка 230 мелкая N9 Роза чайная квадратная;Тарелка 230 мелкая N9 Роза чайная квадратная - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Роза чайная квадратная - Фарфор цветной (Китай) - Тарелки; 
18978;Тарелка 230 мелкая N9 Три подсолнуха 7443;Тарелка 230 мелкая N9 Три подсолнуха 7443 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Три подсолнуха 7443 - Фарфор цветной (Китай) - Тарелки; 
18983;Тарелка 230 мелкая N9 Тюльпаны 7444;Тарелка 230 мелкая N9 Тюльпаны 7444 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Тюльпаны 7444 - Фарфор цветной (Китай) - Тарелки; 
23785;Тарелка 230 мелкая N9 Хризантема 7731;Тарелка 230 мелкая N9 Хризантема 7731 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 Хризантема 7731 - Фарфор цветной (Китай) - Тарелки; 
15109;Тарелка 230 мелкая N9 французск. 027;Тарелка 230 мелкая N9 французск. 027 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9 французск. 027 - Фарфор цветной (Китай) - Тарелки; 
23473;Тарелка 230 мелкая N9,5 Орхидея 7976;Тарелка 230 мелкая N9,5 Орхидея 7976 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9,5 Орхидея 7976 - Фарфор цветной (Китай) - Тарелки; 
23475;Тарелка 230 мелкая N9,5 Япония 7865;Тарелка 230 мелкая N9,5 Япония 7865 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9,5 Япония 7865 - Фарфор цветной (Китай) - Тарелки; 
24435;Тарелка 230 мелкая N9,5Космея 8058;Тарелка 230 мелкая N9,5Космея 8058 - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая N9,5Космея 8058 - Фарфор цветной (Китай) - Тарелки; 
23868;Тарелка 230 мелкая Белая Магнолия;Тарелка 230 мелкая Белая Магнолия - Фарфор цветной (Китай) - Тарелки;Тарелка 230 мелкая Белая Магнолия - Фарфор цветной (Китай) - Тарелки; 
24085;Тарелка 23см мелкая украинская роспись 24-198-025;Тарелка 23см мелкая украинская роспись 24-198-025 - Фарфор цветной (Китай) - Тарелки;Тарелка 23см мелкая украинская роспись 24-198-025 - Фарфор цветной (Китай) - Тарелки; 
23527;Тарелка 240 мелкая N9,5 кв. 9646;Тарелка 240 мелкая N9,5 кв. 9646 - Фарфор цветной (Китай) - Тарелки;Тарелка 240 мелкая N9,5 кв. 9646 - Фарфор цветной (Китай) - Тарелки; 
22213;Тарелка 25 мел. глина B Brown;Тарелка 25 мел. глина B Brown - Фарфор цветной (Китай) - Тарелки;Тарелка 25 мел. глина B Brown - Фарфор цветной (Китай) - Тарелки; 
18112;Тарелка 25 мел. крем M Belge;Тарелка 25 мел. крем M Belge - Фарфор цветной (Китай) - Тарелки;Тарелка 25 мел. крем M Belge - Фарфор цветной (Китай) - Тарелки; 
16921;Тарелка 25 см мелкая шоколад С;Тарелка 25 см мелкая шоколад С - Фарфор цветной (Китай) - Тарелки;Тарелка 25 см мелкая шоколад С - Фарфор цветной (Китай) - Тарелки; 
25833;Тарелка 25,4см квадратная с черными краями F2934BY-10W;Тарелка 25,4см квадратная с черными краями F2934BY-10W - Фарфор цветной (Китай) - Тарелки;Тарелка 25,4см квадратная с черными краями F2934BY-10W - Фарфор цветной (Китай) - Тарелки; 
26202;Тарелка 25,5 см для пасты черная;Тарелка 25,5 см для пасты черная - Фарфор цветной (Китай) - Тарелки;Тарелка 25,5 см для пасты черная - Фарфор цветной (Китай) - Тарелки; 
25824;Тарелка 25,5 см квадратная с камнем F2663-10+F2787-8,75;Тарелка 25,5 см квадратная с камнем F2663-10+F2787-8,75 - Фарфор цветной (Китай) - Тарелки;Тарелка 25,5 см квадратная с камнем F2663-10+F2787-8,75 - Фарфор цветной (Китай) - Тарелки; 
25819;"Тарелка 25,5 см круглая черная 10"" F0087ВК-10";"Тарелка 25,5 см круглая черная 10"" F0087ВК-10 - Фарфор цветной (Китай) - Тарелки";"Тарелка 25,5 см круглая черная 10"" F0087ВК-10 - Фарфор цветной (Китай) - Тарелки"; 
25844;Тарелка 25,5 см круглая черная матовая F2429ВY-10L;Тарелка 25,5 см круглая черная матовая F2429ВY-10L - Фарфор цветной (Китай) - Тарелки;Тарелка 25,5 см круглая черная матовая F2429ВY-10L - Фарфор цветной (Китай) - Тарелки; 
26204;Тарелка 26*26 см квадратная черная матовая;Тарелка 26*26 см квадратная черная матовая - Фарфор цветной (Китай) - Тарелки;Тарелка 26*26 см квадратная черная матовая - Фарфор цветной (Китай) - Тарелки; 
16923;Тарелка 26,7 см N10,5 шоколад;Тарелка 26,7 см N10,5 шоколад - Фарфор цветной (Китай) - Тарелки;Тарелка 26,7 см N10,5 шоколад - Фарфор цветной (Китай) - Тарелки; 
18113;Тарелка 26,7см N10,5 Крем Belge;Тарелка 26,7см N10,5 Крем Belge - Фарфор цветной (Китай) - Тарелки;Тарелка 26,7см N10,5 Крем Belge - Фарфор цветной (Китай) - Тарелки; 
25304;Тарелка 260 мм керамическая;Тарелка 260 мм керамическая - Фарфор цветной (Китай) - Тарелки;Тарелка 260 мм керамическая - Фарфор цветной (Китай) - Тарелки; 
21310;Тарелка 27см 355-100;Тарелка 27см 355-100 - Фарфор цветной (Китай) - Тарелки;Тарелка 27см 355-100 - Фарфор цветной (Китай) - Тарелки; 
26201;Тарелка 28 см круглая черная матовая;Тарелка 28 см круглая черная матовая - Фарфор цветной (Китай) - Тарелки;Тарелка 28 см круглая черная матовая - Фарфор цветной (Китай) - Тарелки; 
25822;Тарелка 30,5 см для пасты черная;Тарелка 30,5 см для пасты черная - Фарфор цветной (Китай) - Тарелки;Тарелка 30,5 см для пасты черная - Фарфор цветной (Китай) - Тарелки; 
25820;"Тарелка 30,5 см круглая черная 12"" F0087ВК-12";"Тарелка 30,5 см круглая черная 12"" F0087ВК-12 - Фарфор цветной (Китай) - Тарелки";"Тарелка 30,5 см круглая черная 12"" F0087ВК-12 - Фарфор цветной (Китай) - Тарелки"; 
25851;Тарелка 30см квадратная с черными краями F2934BY-12W;Тарелка 30см квадратная с черными краями F2934BY-12W - Фарфор цветной (Китай) - Тарелки;Тарелка 30см квадратная с черными краями F2934BY-12W - Фарфор цветной (Китай) - Тарелки; 
25821;Тарелка 31 см круглая черная матовая;Тарелка 31 см круглая черная матовая - Фарфор цветной (Китай) - Тарелки;Тарелка 31 см круглая черная матовая - Фарфор цветной (Китай) - Тарелки; 
26203;Тарелка 31*17,5см прямоугольная черная матовая  F2856BК-12;Тарелка 31*17,5см прямоугольная черная матовая  F2856BК-12 - Фарфор цветной (Китай) - Тарелки;Тарелка 31*17,5см прямоугольная черная матовая  F2856BК-12 - Фарфор цветной (Китай) - Тарелки; 
25848;Тарелка 35*25см прямоугольная с черными краями  F2939BY-13,75W;Тарелка 35*25см прямоугольная с черными краями  F2939BY-13,75W - Фарфор цветной (Китай) - Тарелки;Тарелка 35*25см прямоугольная с черными краями  F2939BY-13,75W - Фарфор цветной (Китай) - Тарелки; 
25845;Тарелка 43*24см прямоугольная черная F2632BК-17;Тарелка 43*24см прямоугольная черная F2632BК-17 - Фарфор цветной (Китай) - Тарелки;Тарелка 43*24см прямоугольная черная F2632BК-17 - Фарфор цветной (Китай) - Тарелки; 
25846;Тарелка 48*27см прямоугольная черная F2632BК-19;Тарелка 48*27см прямоугольная черная F2632BК-19 - Фарфор цветной (Китай) - Тарелки;Тарелка 48*27см прямоугольная черная F2632BК-19 - Фарфор цветной (Китай) - Тарелки; 
21751;Тарелка 8 квадрат тюльпан 42602;Тарелка 8 квадрат тюльпан 42602 - Фарфор цветной (Китай) - Тарелки;Тарелка 8 квадрат тюльпан 42602 - Фарфор цветной (Китай) - Тарелки; 
21755;Тарелка 9,5 квадрат Тюльпан 42622;Тарелка 9,5 квадрат Тюльпан 42622 - Фарфор цветной (Китай) - Тарелки;Тарелка 9,5 квадрат Тюльпан 42622 - Фарфор цветной (Китай) - Тарелки; 
25513;Тарелка мелкая N7,5 GA-7FP1BB-06;Тарелка мелкая N7,5 GA-7FP1BB-06 - Фарфор цветной (Китай) - Тарелки;Тарелка мелкая N7,5 GA-7FP1BB-06 - Фарфор цветной (Китай) - Тарелки; 
25514;Тарелка мелкая N9 GA-9FP1BB-06;Тарелка мелкая N9 GA-9FP1BB-06 - Фарфор цветной (Китай) - Тарелки;Тарелка мелкая N9 GA-9FP1BB-06 - Фарфор цветной (Китай) - Тарелки; 
25213;Тарелка прямоугольная 3810 Зеленый бамбук;Тарелка прямоугольная 3810 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки;Тарелка прямоугольная 3810 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки; 
25214;Тарелка прямоугольная 3811 Зеленый бамбук;Тарелка прямоугольная 3811 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки;Тарелка прямоугольная 3811 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки; 
25215;Тарелка прямоугольная 3816 Зеленый бамбук;Тарелка прямоугольная 3816 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки;Тарелка прямоугольная 3816 Зеленый бамбук - Фарфор цветной (Китай) - Тарелки; 
21347;Пиала 17см N1 320-F37;Пиала 17см N1 320-F37 - Фарфор цветной (Китай) - Тарелки;Пиала 17см N1 320-F37 - Фарфор цветной (Китай) - Тарелки; 
24644;Блюдо N10,5 Роза чайная круглое;Блюдо N10,5 Роза чайная круглое - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Роза чайная круглое - Фарфор цветной (Китай) - Блюда ,менажницы; 
20799;Блюдо (2шт);Блюдо (2шт) - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо (2шт) - Фарфор цветной (Китай) - Блюда ,менажницы; 
21308;Блюдо 29,5х20,5х2,6 овощи 323-385;Блюдо 29,5х20,5х2,6 овощи 323-385 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо 29,5х20,5х2,6 овощи 323-385 - Фарфор цветной (Китай) - Блюда ,менажницы; 
21350;Блюдо 29,5х20,5х2,6 оливки 323-385;Блюдо 29,5х20,5х2,6 оливки 323-385 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо 29,5х20,5х2,6 оливки 323-385 - Фарфор цветной (Китай) - Блюда ,менажницы; 
23719;Блюдо N10,5 Вишня в цвету 7736;Блюдо N10,5 Вишня в цвету 7736 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Вишня в цвету 7736 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16369;Блюдо N10,5 Вьюнок 7169;Блюдо N10,5 Вьюнок 7169 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Вьюнок 7169 - Фарфор цветной (Китай) - Блюда ,менажницы; 
24424;Блюдо N10,5 Космея 8058;Блюдо N10,5 Космея 8058 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Космея 8058 - Фарфор цветной (Китай) - Блюда ,менажницы; 
19630;Блюдо N10,5 Лилии 7446;Блюдо N10,5 Лилии 7446 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Лилии 7446 - Фарфор цветной (Китай) - Блюда ,менажницы; 
18912;Блюдо N10,5 Маки 7445;Блюдо N10,5 Маки 7445 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Маки 7445 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16367;Блюдо N10,5 Подсолнух 5705;Блюдо N10,5 Подсолнух 5705 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Подсолнух 5705 - Фарфор цветной (Китай) - Блюда ,менажницы; 
18913;Блюдо N10,5 Три подсолнуха 7443;Блюдо N10,5 Три подсолнуха 7443 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Три подсолнуха 7443 - Фарфор цветной (Китай) - Блюда ,менажницы; 
18914;Блюдо N10,5 Тюльпаны 7444;Блюдо N10,5 Тюльпаны 7444 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 Тюльпаны 7444 - Фарфор цветной (Китай) - Блюда ,менажницы; 
23459;Блюдо N10,5 квадратное Орхидея;Блюдо N10,5 квадратное Орхидея - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 квадратное Орхидея - Фарфор цветной (Китай) - Блюда ,менажницы;"Длина: 27см.
Ширина: 27см."
23460;Блюдо N10,5 квадратное Япония 7865;Блюдо N10,5 квадратное Япония 7865 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 квадратное Япония 7865 - Фарфор цветной (Китай) - Блюда ,менажницы; 
7989;Блюдо N10,5 круглое камыш;Блюдо N10,5 круглое камыш - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 круглое камыш - Фарфор цветной (Китай) - Блюда ,менажницы; 
25110;Блюдо N10,5 мелкое квадратное 24,5см;Блюдо N10,5 мелкое квадратное 24,5см - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо N10,5 мелкое квадратное 24,5см - Фарфор цветной (Китай) - Блюда ,менажницы; 
19632;Блюдо овальное глубое N14 Венеция 6624;Блюдо овальное глубое N14 Венеция 6624 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное глубое N14 Венеция 6624 - Фарфор цветной (Китай) - Блюда ,менажницы; 
19629;Блюдо овальное глубокое N10 Венеция 6624;Блюдо овальное глубокое N10 Венеция 6624 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное глубокое N10 Венеция 6624 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16151;Блюдо овальное глубокое N14 Вьюнок 7169;Блюдо овальное глубокое N14 Вьюнок 7169 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное глубокое N14 Вьюнок 7169 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16370;Блюдо овальное глубокое N14 Настурция 7171;Блюдо овальное глубокое N14 Настурция 7171 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное глубокое N14 Настурция 7171 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16152;Блюдо овальное глубокое N14 Подсолнух 5705;Блюдо овальное глубокое N14 Подсолнух 5705 - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное глубокое N14 Подсолнух 5705 - Фарфор цветной (Китай) - Блюда ,менажницы; 
13773;Блюдо овальное роза 10см;Блюдо овальное роза 10см - Фарфор цветной (Китай) - Блюда ,менажницы;Блюдо овальное роза 10см - Фарфор цветной (Китай) - Блюда ,менажницы; 
22082;Менажница в плетенке 2-секц. d20см;Менажница в плетенке 2-секц. d20см - Фарфор цветной (Китай) - Блюда ,менажницы;Менажница в плетенке 2-секц. d20см - Фарфор цветной (Китай) - Блюда ,менажницы; 
22109;Менажница в плетенке 2-секц. d28 SL1024-11;Менажница в плетенке 2-секц. d28 SL1024-11 - Фарфор цветной (Китай) - Блюда ,менажницы;Менажница в плетенке 2-секц. d28 SL1024-11 - Фарфор цветной (Китай) - Блюда ,менажницы; 
16534;Менажница в плетенке 4-секц. d20;Менажница в плетенке 4-секц. d20 - Фарфор цветной (Китай) - Блюда ,менажницы;Менажница в плетенке 4-секц. d20 - Фарфор цветной (Китай) - Блюда ,менажницы; 
19253;Противень в плетенке 36см овальный SL 132 B-14;Противень в плетенке 36см овальный SL 132 B-14 - Фарфор цветной (Китай) - Блюда ,менажницы;Противень в плетенке 36см овальный SL 132 B-14 - Фарфор цветной (Китай) - Блюда ,менажницы; 
19254;Противень в плетенке 36см прямоугольный SL 132-14;Противень в плетенке 36см прямоугольный SL 132-14 - Фарфор цветной (Китай) - Блюда ,менажницы;Противень в плетенке 36см прямоугольный SL 132-14 - Фарфор цветной (Китай) - Блюда ,менажницы; 
21307;Салатник 29,5х29,5х2,6см 323-383;Салатник 29,5х29,5х2,6см 323-383 - Фарфор цветной (Китай) - Блюда ,менажницы;Салатник 29,5х29,5х2,6см 323-383 - Фарфор цветной (Китай) - Блюда ,менажницы; 
24022;Форма д/запекания овальный 31*20*2,5см 60947;Форма д/запекания овальный 31*20*2,5см 60947 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма д/запекания овальный 31*20*2,5см 60947 - Фарфор цветной (Китай) - Блюда ,менажницы; 
24021;Форма д/запекания прям 24*15,5*3,5 60945;Форма д/запекания прям 24*15,5*3,5 60945 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма д/запекания прям 24*15,5*3,5 60945 - Фарфор цветной (Китай) - Блюда ,менажницы; 
23665;Форма для запекания Круглая 60936;Форма для запекания Круглая 60936 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания Круглая 60936 - Фарфор цветной (Китай) - Блюда ,менажницы; 
23663;Форма для запекания Сердце 30,5*26*4см;Форма для запекания Сердце 30,5*26*4см - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания Сердце 30,5*26*4см - Фарфор цветной (Китай) - Блюда ,менажницы; 
23664;Форма для запекания Сердце 60933;Форма для запекания Сердце 60933 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания Сердце 60933 - Фарфор цветной (Китай) - Блюда ,менажницы; 
25625;Форма для запекания овальная 25,5*16,5*2,5см 60948;Форма для запекания овальная 25,5*16,5*2,5см 60948 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания овальная 25,5*16,5*2,5см 60948 - Фарфор цветной (Китай) - Блюда ,менажницы; 
25624;Форма для запекания овальная 36,5*15,5*3,5см 60946;Форма для запекания овальная 36,5*15,5*3,5см 60946 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания овальная 36,5*15,5*3,5см 60946 - Фарфор цветной (Китай) - Блюда ,менажницы; 
25623;Форма для запекания прямоугольная 29,5*19*4см 60944;Форма для запекания прямоугольная 29,5*19*4см 60944 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания прямоугольная 29,5*19*4см 60944 - Фарфор цветной (Китай) - Блюда ,менажницы; 
25622;Форма для запекания прямоугольная 34,5*22,5*4,5см 60943;Форма для запекания прямоугольная 34,5*22,5*4,5см 60943 - Фарфор цветной (Китай) - Блюда ,менажницы;Форма для запекания прямоугольная 34,5*22,5*4,5см 60943 - Фарфор цветной (Китай) - Блюда ,менажницы; 
26311;Подставка под ложку Весна;Подставка под ложку Весна - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические);Подставка под ложку Весна - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические); 
22957;Подставка под ложку Герберы 104125D;Подставка под ложку Герберы 104125D - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические);Подставка под ложку Герберы 104125D - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические); 
22965;Подставка под ложку Горох 104125F;Подставка под ложку Горох 104125F - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические);Подставка под ложку Горох 104125F - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические); 
22958;Подставка под ложку Жасмин;Подставка под ложку Жасмин - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические);Подставка под ложку Жасмин - Фарфор цветной (Китай) - Подставки под ложку (ложки керамические); 
